Date,Open,High,Low,Close,Volume,OpenInt
2008-04-02,83.279,87.204,80.679,84.535,10260523,0
2008-04-03,84.631,92.489,84.067,88.208,12749713,0
2008-04-04,95.526,98.448,94.533,97.103,16542367,0
2008-04-07,100.85,103.79,97.697,99.457,10812327,0
2008-04-08,98.576,101.96,98.32,101.21,6246667,0
2008-04-09,102.75,104.02,100.65,101.27,7608916,0
2008-04-10,101.61,104.24,99.189,103.5,7501908,0
2008-04-11,102.14,104.77,101.4,102.63,6658210,0
2008-04-14,104.02,107.84,103.63,106.68,8062541,0
2008-04-15,107.99,109.67,105.24,107.68,6909105,0
2008-04-16,111.74,115.55,111.15,115.48,10305461,0
2008-04-17,115.61,117.31,110.69,112.99,8687626,0
2008-04-18,111.93,115.84,110.81,114.14,7938306,0
2008-04-21,115.6,117.88,113.64,117.59,7063312,0
2008-04-22,119.43,120.95,115.65,118.32,8028842,0
2008-04-23,118.89,118.99,111.55,112.49,8197318,0
2008-04-24,112.55,113.27,102.24,103.28,13918243,0
2008-04-25,104.78,112.17,103.79,110.8,9148155,0
2008-04-28,108.98,109.29,102.29,104.38,10127311,0
2008-04-29,101.48,102.57,98.38,99.63,10415852,0
2008-04-30,100.49,104.61,98.862,103.39,10644769,0
2008-05-01,101.74,104.38,97.541,103.42,8948476,0
2008-05-02,104.57,105.84,101.4,105.17,7211789,0
2008-05-05,106.96,108.28,102.98,105.31,6464153,0
2008-05-06,105.99,109.21,104.62,107.59,7375814,0
2008-05-07,107.81,109.62,104.5,105.19,5766851,0
2008-05-08,106.08,107.26,102.27,107.26,6085541,0
2008-05-09,106.39,108.47,104.1,106.69,4918924,0
2008-05-12,107.18,108.14,104.55,107.17,4170621,0
2008-05-13,107.16,107.56,103.94,105.72,4929348,0
2008-05-14,105.43,109.81,104.76,105.63,6509298,0
2008-05-15,106.87,109.45,105.93,108.79,6116077,0
2008-05-16,109.46,111.52,107.75,109.43,5774041,0
2008-05-19,110.41,110.41,103.15,104.55,6420555,0
2008-05-20,104.55,107.28,103.13,107.1,4627384,0
2008-05-21,107.49,107.94,100.79,101.83,5883776,0
2008-05-22,102.08,106.48,101.86,103.39,6625823,0
2008-05-23,102.15,102.85,98.37,101.16,5716861,0
2008-05-27,100.4,101.1,95.851,97.414,6989418,0
2008-05-28,97.884,104.41,96.502,104.41,6976342,0
2008-05-29,103.75,105.48,101.98,102.77,5662360,0
2008-05-30,104.1,105.78,103.13,105.78,3557118,0
2008-06-02,105.62,109.28,104.66,106.2,5351993,0
2008-06-03,107.48,112.59,107.2,110.31,9786849,0
2008-06-04,110.97,111.6,107.88,108.64,6553926,0
2008-06-05,109.83,113.57,109.03,113.44,8169306,0
2008-06-06,112.64,116.45,112.08,112.55,6176740,0
2008-06-09,116.73,120.87,115.69,119.01,12336845,0
2008-06-10,117.31,122.72,115.31,121.45,10064756,0
2008-06-11,123.52,127.83,123.5,126.28,14038315,0
2008-06-12,126.99,126.99,122.8,124.46,7373483,0
2008-06-13,125.04,129.85,123.22,129.39,7015218,0
2008-06-16,131.62,132.53,128.48,129.5,6154776,0
2008-06-17,130.18,136.09,129.25,135.95,7881614,0
2008-06-18,136.28,137.76,131.7,135.88,6991686,0
2008-06-19,137.29,137.36,127.47,127.65,9939568,0
2008-06-20,127.99,131.32,124.45,128.89,10673733,0
2008-06-23,130.06,130.39,123.31,127.14,8014303,0
2008-06-24,126.45,127.75,119.85,120.67,8350159,0
2008-06-25,119.12,124.78,116.97,122.82,10196943,0
2008-06-26,122.38,124.88,118.8,120.45,6993217,0
2008-06-27,118.92,125.7,117.07,125.04,8026608,0
2008-06-30,124.97,126.52,120.69,122.11,6234782,0
2008-07-01,120.79,120.92,114.8,119.27,7960312,0
2008-07-02,120.59,121.5,110.07,110.07,8113743,0
2008-07-03,108.41,112.17,104.7,111.63,7290650,0
2008-07-07,113.71,114.74,107.05,109.24,7919394,0
2008-07-08,106.34,111.03,100.47,110.64,11550237,0
2008-07-09,112.73,117.81,112.73,115.66,8561309,0
2008-07-10,117.34,119.34,114.34,118.24,5993682,0
2008-07-11,117.36,120.61,115.43,119.68,5924326,0
2008-07-14,121.98,124,120.3,122.94,5063241,0
2008-07-15,121.62,123.12,112.85,115.79,9440908,0
2008-07-16,116.85,117.2,111.13,117.13,7116667,0
2008-07-17,116.73,120.65,107.44,109.52,9124728,0
2008-07-18,106.55,110.5,104.68,107.3,7002095,0
2008-07-21,108.79,117.62,108.65,117.36,7491003,0
2008-07-22,116.03,117.18,110.79,114.25,5096117,0
2008-07-23,113,113,102.29,102.75,9115631,0
2008-07-24,105.51,109.39,96.435,99.78,13644266,0
2008-07-25,101.32,106.15,97.307,103.01,6335144,0
2008-07-28,104.96,105.82,101.08,103.51,5786402,0
2008-07-29,99.92,105.25,99.199,103.26,8371606,0
2008-07-30,105.05,111.92,103.81,111.82,8402231,0
2008-07-31,111.08,112.21,106.14,107.37,6525545,0
2008-08-01,108.29,110.98,102.15,103.54,5003977,0
2008-08-04,102.37,102.51,90.642,92.239,9752879,0
2008-08-05,90.741,95.708,87.731,93.227,14179643,0
2008-08-06,94.092,97.345,92.367,95.31,7507408,0
2008-08-07,97.122,97.884,92.958,93.463,5234442,0
2008-08-08,90.578,90.95,87.204,88.123,8092462,0
2008-08-11,87.135,88.043,78.028,81.313,13048202,0
2008-08-12,80.272,85.029,80.048,81.891,10924090,0
2008-08-13,83.763,90.385,83.131,90.375,10310862,0
2008-08-14,88.34,91.041,86.293,88.07,8231559,0
2008-08-15,86.093,86.926,79.812,82.301,9642191,0
2008-08-18,84.638,88.779,84.189,85.721,9161352,0
2008-08-19,82.62,89.005,82.532,87.349,7250254,0
2008-08-20,88.987,90.732,87.349,90.229,6259247,0
2008-08-21,92.614,93.256,88.086,91.253,8887806,0
2008-08-22,90.033,91.386,88.189,90.597,6098346,0
2008-08-25,91.981,93.153,88.816,90.346,4352551,0
2008-08-26,91.324,91.78,89.022,89.913,5465136,0
2008-08-27,91.022,92.837,90.642,92.091,5439323,0
2008-08-28,93.042,93.603,88.616,89.67,5509921,0
2008-08-29,90.788,92.016,89.947,90.084,5257915,0
2008-09-02,87.038,87.767,81.695,82.04,8976525,0
2008-09-03,82.109,85.046,76.374,78.566,12491435,0
2008-09-04,77.847,79.139,72.606,74.078,10938515,0
2008-09-05,74.918,80.048,72.468,79.769,12779167,0
